307509682040356864,"('kentucky, us', 'united states')",41622,"[37.515488, -82.804546]",none,,41622,special weather statement issued march 01 at 10:04am est  by nws jackson http://t.co/vlo4nkiwka,angry
307509683873275904,"('washington sports clubs, germantown', 'united states')",,"[39.17149421, -77.26135254]",central time (us & canada),,erinmcx3,"i'm at washington sports club (germantown, md) http://t.co/z6urzenu4y",happy,chilling
307509684661792768,"('kentucky, us', 'united states')",,"[37.77020312, -85.90357977]",none,,summerennis,and there i lay with nothing but your tshirt on.,happy,relaxing
307509684796002304,"('nashville, tn', 'united states')","nashville, tennessee usa","[36.1475123, -86.7977334]",central time (us & canada),,dougtwts,does anyone use bookmarks in web browsers anymore?,sad
307509682199752704,"('ohio, us', 'united states')",ohio,"[41.3240473, -82.6121046]",mountain time (us & canada),['true'],thealexxander,taking over the world #true,happy,relaxing
307509684942827520,"('kentucky, us', 'united states')",41621,"[37.62622, -82.726115]",none,,41621,special weather statement issued march 01 at 10:04am est  by nws jackson http://t.co/vibxfgaxgm,angry
307509685194481666,"('oklahoma city, ok', 'united states')",ok,"[35.50067581, -97.5236553]",central time (us & canada),,gretch_d,i get five days off in a row after today! whatever shall i do?! ideas?,sad
307509685429366784,"('dublin city, dublin', 'ireland')",d u b l i n,"[53.36404549, -6.29613019]",none,,iluvyusoomuch,@codysimpson follow me cod x,happy
307509685655846913,"('schulenburg, tx', 'united states')",schulenburg texas,"[29.68278892, -96.89735713]",none,,j_sirilo,@j_lang8 @kaci_jordan yeah. u kicked me out to? lol.. i go to sleep and my phone is blown up with these damn tweets,calm,relaxing
307509685576159232,"('cape coral, fl', 'united states')",,"[26.64578072, -81.94935053]",eastern time (us & canada),,caitiescobar,"so fucking sore. can barely move, almost couldn't get out of bed.",angry
307509683277664257,"('houston, tx', 'united states')",houston tx,"[29.85132807, -95.50488877]",none,,neilc252,@cmathew58 my old stomping ground.     1212 s michigan!,sad,chilling
307509685462921216,"('', '')","lagunilla, heredia","[9.93252478, -84.12812247]",none,,aaronfj89,"i'm at oficinas grupo monge (escazu, san jose) http://t.co/zgbrv3yatk",happy
307509686008164354,"('medan tuntungan, kota medan', 'indonesia')",planet eve,"[3.53654, 98.62224]",jakarta,,kayuraja54,"you know what?? nevermind,,",angry
307509686092054529,"('baltimore, md', 'united states')","belcamp, md","[39.34868737, -76.61936875]",atlantic time (canada),,thesmart1bites,"my marriage and family book: ""there is no condom for the heart""",angry,mental
307509686222086144,"('chicago, il', 'united states')",,"[41.7735052, -87.5856869]",central time (us & canada),,rolluupp_mydope,juuss waaking uupp and im irra .,calm
307509686385659904,"('la plata, md', 'united states')",,"[38.54659486, -76.95042588]",none,,maemoemad,@naomibugvega i was fine this morning... mitzie was rude,angry
307509688554115072,"('presque isle, me', 'united states')",maine,,eastern time (us & canada),,drkpurple,@twdfamily thank you for the follow! you are my 200th follower!!! yay!!!! :),happy
307509688113700864,"('houston, ms', 'united states')",i'm a mississippi gal now! ,"[33.89671874, -89.00093443]",central time (us & canada),,_astrongdiva120,@agbesquire that's good i bet u excited lol,happy
307509689015496704,"('minneapolis, mn', 'united states')",minneapolis livin boston blood,"[44.96748664, -93.24145342]",central time (us & canada),['notorious'],biggred88,as we proceed to give you what you need #notorious,angry
307509689409753090,"('georgia, us', 'united states')",georgia,"[34.05908417, -84.61265681]",quito,,thecasey_james,my parents left this morning to look at a house that's out of state... i'm going to have to grow up soon and it's going to suck,sad
307509689942437889,"('amsterdam, north holland', 'the netherlands')",amsterdam,,amsterdam,,daanno,@sewoubsuus i would wait for the q10.,sad
307509690068262912,"('eagle, id', 'united states')",idaho,"[43.68849589, -116.34020884]",arizona,"['pumped', 'bball', 'fieldtrip']",winsom3los3som3,not much school for me today #pumped #bball #fieldtrip,calm
307509690332508160,"('lynchburg, va', 'united states')","lynchburg, va","[37.34898101, -79.18035398]",eastern time (us & canada),['libertyconvo'],quan2994,i like this convo guy #libertyconvo,
307509690135351296,"('risner-bull creek, ky', 'united states')",41616,"[37.599363, -82.876742]",none,,41616,special weather statement issued march 01 at 10:04am est  by nws jackson http://t.co/jfvpcqwmxi,angry
307509693499195392,"('indralaya, ogan komering ilir', 'indonesia')",,"[-3.2004438, 104.6595633]",bangkok,,nelsa_ayu,"kutipan uda :)""@farhan_budi: op, rt@nelsa_ayu: that feeling was never ever exist, so dont say about it anymore""",angry
307509693490810880,"('fresno, ca', 'united states')","kerman,ca","[36.77056174, -119.79988244]",pacific time (us & canada),,ohhesziee,"finally got to school, time to study inside my car before class begins.",calm,mental
307509693411127296,"('queens, ny', 'united states')",new york city,"[40.76246486, -73.92635361]",eastern time (us & canada),,rockstarmvp,i just found $20 blowing down the street :d,sad
307509693583085568,"('brockport, ny', 'united states')","buffalo, ny","[43.21267327, -77.93988696]",quito,,desiraeerickson,too hungover to walk to parking,sad
307509694111547392,"('st. louis, mo', 'united states')",chillin w/ my bby @suziie_h,"[38.6549634, -90.27219283]",none,,poke_hoess,been quiet every since this morning .,happy,relaxing
307509694199627778,"('san antonio, tx', 'united states')","san antonio,tx","[29.52636905, -98.55559976]",none,,jamieelrod32,@jesselectronica @mohyokemper she is so much better!! and yes most of the time unless my mom asks for her,calm,physical
307509694304493568,"('boston, ma', 'united states')","quincy, ma","[42.2801943, -71.1673351]",eastern time (us & canada),,bizzworthy,@aoc_1210 i work at it every year! :) come visit meeee,sad
307509694669406209,"('merritt island, fl', 'united states')",florida,"[28.3889449, -80.7021342]",quito,,jamesluckcomb,"@brokenwings1985 i'm glad, wool back to therapy.... writing is my anger outlet",happy,mental
307509694983979010,"('addison, tx', 'united states')",texas,"[32.967258, -96.822941]",central time (us & canada),,eclectikmuse,@soulsistanokc but i'm not lying. you looked amazing when i saw you. probably waiting until st. patty's day weekend. i was coming today.,happy
307509697152421888,"('chiyoda ward, tokyo', 'japan')","14.558372,121.02219",,hong kong,"['music', 'nowplaying', 'tfbjp']",xerxeswatkins,"the most heard #music 2013-3-1
10. amor - negro ezequiel
#nowplaying at http://t.co/gjk8e2zjmy #tfbjp
@shartnet @latermuse",angry
307509697206972416,"('new york, us', 'united states')","rochester, new york","[43.05771009, -77.5242734]",eastern time (us & canada),"['thekissinghand', 'readacrossamerica']",robertrrountree,#thekissinghand is #readacrossamerica at#barkerroadmiddleschool @ barker road middle school http://t.co/xnrvoaynis,angry
307509697332772865,"('cusy, haute-savoie', 'france')",annecy - france ,"[45.76910223, 6.02655259]",amsterdam,,pauuulinette,@kai_lenny what an awesome picture. where are you ?,happy
307509697836113920,"('', '')",emirate,"[9.05593, 7.46246]",none,,san_bosscity,"go to kitchen when i av 5 grown ladies in d owz""@bellah_krain: @san_bosscity ure obviously not hungry..""",sad
307509698066780160,"('bloomington, mn', 'united states')",dropping pixi dust : mpls,"[44.86070392, -93.36050746]",none,,beautifulxsole,i just kick the negative energy to the curb &amp; swerve .,happy
307509698477830145,"('peel, ontario', 'canada')",,,central time (us & canada),,stiizzyysays,thank you god for another day.,calm
307509698809196544,"('johor bahru, johore', 'malaysia')","singapore, sengkang","[1.38904629, 103.90227567]",alaska,,_qianhui,your words are different from your actions.,sad
307509698897256448,"('florida, us', 'united states')",sunny orlando :)),"[28.50612429, -81.40821482]",quito,,_takenbykameek,just face it! some people are bitter &amp; you've got to be better !!,happy
307509698029031424,"('kentucky, us', 'united states')",41607,"[37.627294, -82.849704]",none,,41607,special weather statement issued march 01 at 10:04am est  by nws jackson http://t.co/5k9q8nx3m3,angry
307509698763034625,"('cardiff, cardiff', 'united kingdom')",abergavenny,"[51.52211761, -3.19732198]",london,,jon_denning,@matthobden @scottphillips11 nah he sent a photo of my tits out this morning. could tell he didn't mean it like you three haha,happy
307509699199266817,"('havering, london', 'united kingdom')",essex,"[51.57073152, 0.16074604]",london,,alex_wiltshire,just like to apologise about all my moaning today about being hungover,angry
307509701782937601,"('new orleans, la', 'united states')",in the 504 it's the n.o.,"[29.98479203, -90.10372268]",mountain time (us & canada),,beautyis_gabby,i can't sit down to long or else i get restless and bored,sad,relaxing
307509702282059777,"('muncie, in', 'united states')",tha cross,"[40.186995, -85.415525]",none,,kaptain_kush2k,me and my landlord bouta be beefin over this heat rt,calm
307509702470815744,"('texas, us', 'united states')",austin ,"[30.51518316, -97.78685821]",mountain time (us & canada),,cashmoney_tee,whataburger or chick fil la ' for lunch &gt;&gt;&gt;&gt;&gt;&gt;(:,happy
307509703137701888,"('west palm beach, fl', 'united states')",florida,"[26.72687306, -80.15086916]",eastern time (us & canada),,supapampam,nature walk since i have the day off. (@ apoxee wilderness trail) http://t.co/80d7i9umce,happy
307509703360012288,"('ceredigion, ceredigion', 'united kingdom')","lampeter, ceredigion, wales","[52.10222222, -4.14277778]",london,,lampeterweather,"wind 0.0 mph nne. barometer 1030.38 mb, steady. temperature 7.2 c. rain today 0.0 mm. humidity 64%",sad,mental
307509705234870272,"('peekskill, ny', 'united states')",,"[41.29627705, -73.91560256]",none,,lovely_dree15,omw to school i need a day off :/ odee tired and my bodys sore ://,angry
307509705490698240,"('villiers-sur-marne, val-de-marne', 'france')",val de drame (94),"[48.82391069, 2.54381755]",none,,diianaelh,@mathisait hmdl tu moublies ou jreve saloprie,happy
307509705952075778,"('', '')",boundary of reality and dreams,"[14.7474308, 121.0111055]",singapore,,19shadesofcj,@karlzarate hoy! what happened? :o,sad
307509705939501056,"('', '')",kuwait,"[29.30277062, 48.08531463]",kuwait,,al_matrouk81,just posted a photo @ my sweet hom http://t.co/uomxexqxr9,calm
307509706291806208,"('portsmouth, va', 'united states')",757,"[36.86429545, -76.39631222]",quito,,giterdun4567,these 3s are too fresh.,happy
307509706266660864,"('fort osage, mo', 'united states')",my house. :),"[39.1323082, -94.2928074]",eastern time (us & canada),,megan_renee97,welll thanks for ruining my day...,happy
307509706430246912,"('mooresville, in', 'united states')",indiana ,"[39.6183708, -86.3769792]",none,,kayraegri,i wish i could walk around school in my socks.,calm
307509705331326977,"('austin, tx', 'united states')","austin, texas","[30.25056038, -97.75469891]",central time (us & canada),,misplattastic,i never have to wander far for a good breakfast. http://t.co/wenvynbotq,happy
307509707235524610,"('pennsylvania, us', 'united states')",#twerkteam,"[40.05913395, -77.5280802]",eastern time (us & canada),,shileyy,@chips__afoy nah i just broke up with her and then she did. then i burnt her house down.,happy
307509707025821697,"('detroit, mi', 'united states')",w/ your nigga,"[42.4314908, -83.2407035]",none,,____iheartme,i wish yall.get tf of my tl with that shit,happy
307509707604652032,"('california, pa', 'united states')",,"[40.06695054, -79.88593214]",hawaii,,e_hogan33,"everyday i walk into algebra with my running shoes and everyday questions guy asks ""oh going to the gym?""and everyday i say no.",happy,physical
307509707629797376,"('rochester, mn', 'united states')",,"[44.0395772, -92.4628816]",arizona,,lindseyyrw,caught up on your ex still? i can get you past that ;),happy
309148055842721792,"('middletown, ct', 'united states')",savemysontv@gmail.com,,quito,,drsteveperry,"@eduwomanofcolor this is an excellent idea. why make kids stay @ a failed school when there are successful schools nearby, public or private",calm
309148056023085057,"('memphis, tn', 'united states')",- getting $$$ !,"[35.058171, -89.860108]",central time (us & canada),,_mosthatedon,@20m5b_jeremy_55 text me tho.,calm
309148056161484800,"('hammond, in', 'united states')",south chicago,"[41.5735932, -87.5173844]",none,['bringchiefkeefin'],isra_nation,there's a lot of shit i don't like so #bringchiefkeefin,sad
309148056144736256,"('eidsvold, mn', 'united states')","minneota,mn","[44.60769868, -95.99229827]",central time (us & canada),,dillonjon,"seriously guys, still waiting on that food.",sad
309148056169873408,"('kaw, mo', 'united states')",,"[38.86267303, -94.52828017]",none,"['deadlifts', 'sore', 'back']",nicholaslraptor,those #deadlifts kicked my ass! #sore #back @cornell_ryan,happy,relaxing
309148056387985409,"('', '')",philippines,"[14.74789, 121.04223]",singapore,,raydenmontalbo,"a year ago, i would've never guessed my life would be the way it is now with you. .",happy
309148056371220481,"('wayne, in', 'united states')",getting yatted or hoopin,"[39.77793238, -86.21161555]",central time (us & canada),['shitty'],iam_tezzo,phone ain't getting no love #shitty,sad
309148056509616128,"('coon rapids, mn', 'united states')","land of 10,000 fakes ","[45.1697472, -93.2754982]",mountain time (us & canada),,shadybaaaby_,@logiee_bear maybe not to you.,angry
309148056635461632,"('alamo heights, tx', 'united states')",,"[29.47659303, -98.46196292]",eastern time (us & canada),,cianamiller,i love when things happen so fast for you,happy
309148056849354752,"('coahoma, tx', 'united states')","big spring, tx","[32.29605165, -101.30510448]",eastern time (us & canada),,haleyymichelee,@valpetrowski haha i'm not quite there yet buuuut it's still crazy!,happy
309148056840974336,"('illinois, us', 'united states')","collinsville, il","[38.7032646, -89.9767108]",eastern time (us & canada),,jordanstaves,@collintherapper what website?,angry
309148056933236736,"('chicago, il', 'united states')",,"[41.87315877, -87.6244539]",none,,lizziwood512,i never pay attention on the bus. one of these days i'm gonna get all the way to the south side and cry,sad
309148057444970496,"('pinckney, mo', 'united states')","warrenton,mo","[38.77724442, -91.22060408]",none,"['rolloutandrollup', 'getherenigga']",austinbtodd,"@codeylanning lets get to it, than m'f. lol
#rolloutandrollup
#getherenigga",happy
309148057717592064,"('huntsville, tx', 'united states')",huntsvilleeee!,"[30.7299818, -95.57730857]",eastern time (us & canada),,masongarner,can't get over the fact that this school year is already almost over!,happy
309148057671458816,"('bark river, mi', 'united states')",bark river,"[45.6940848, -87.30572167]",none,,marissa_maroo,snap chat y'all. messerm1,happy
309148058069905408,"('toronto, ontario', 'canada')",toronto!!!! :),"[43.8085402, -79.2091053]",central time (us & canada),"['theway', 'education']",chanelles,#theway to go! #education,happy
309148058099273728,"('kentucky, us', 'united states')",the ill of noise.,"[37.73777442, -89.17393994]",central time (us & canada),,la_b33f,math makes me want to cry.,happy
309148057302355968,"('village green-green ridge, pa', 'united states')",philly,"[39.86500758, -75.41270117]",eastern time (us & canada),,delguercioo,@shayne_white3 http://t.co/kimmzjmxhx,calm
309148058183159811,"('ontario, canada', 'canada')",,,mountain time (us & canada),,justinbmeperrea,@justinbieber i've done everything and not follows me(?) hahahaha ok no se ingles:c,happy
309148058141200384,"('illinois, us', 'united states')",,"[39.72514712, -90.03799387]",central time (us & canada),,abbywright31,@patrick_oettle i sorta thought about it! it's not the worst thing you guys have called me!,angry
309148058325753856,"('northfield, nh', 'united states')","uptown, nyc",,pacific time (us & canada),,_cm5,"lol nasty rt @komikv
lmao i just drooled out of nowhere..",happy
